frec_pal1 frec_pal2 frec_pal3 frec_pal4 frec_pal5 frec_pal6 frec_pal7 frec_pal8 frec_pal9 frec_pal10 frec_pal11 frec_pal12 frec_pal13 frec_pal14 frec_pal15 frec_pal16 frec_pal17 frec_pal18 frec_pal19 frec_pal20 frec_pal21 frec_pal22 frec_pal23 frec_pal24 frec_pal25 frec_pal26 frec_pal27 frec_pal28 frec_pal29 frec_pal30 frec_pal31 frec_pal32 frec_pal33 frec_pal34 frec_pal35 frec_pal36 frec_pal37 frec_pal38 frec_pal39 frec_pal40 frec_pal41 frec_pal42 frec_pal43 frec_pal44 frec_pal45 total_palabras es_spam
0 0 0 0 4 0 0 0 0 0 0 1 0 0 0 0 0 0 7 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1
0 4 0 0 0 0 0 0 0 4 8 0 0 0 0 0 0 0 13 0 4 0 0 0 4 0 0 4 0 0 8 0 0 0 4 0 8 0 0 0 0 0 0 0 0 74 1
0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1
0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1
0 0 2 0 8 0 2 0 0 0 0 5 0 0 0 2 5 0 13 0 13 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 66 1
0 3 3 0 3 0 0 0 0 0 0 7 0 0 0 3 0 7 10 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 1
0 3 14 0 3 0 0 0 0 0 0 3 0 0 0 3 0 7 18 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 80 1
1 0 0 0 3 4 0 12 0 0 0 1 7 0 0 0 0 1 14 0 3 0 1 3 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 63 1
0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1
0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1
0 0 1 0 2 0 0 0 0 0 0 0 1 0 0 0 0 0 6 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 1
0 0 0 0 5 0 2 5 0 2 2 5 0 0 0 2 15 2 17 20 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94 1
2 6 15 0 6 0 0 27 9 11 0 13 4 0 4 0 0 0 61 0 22 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 214 1
1 0 1 0 15 3 0 0 0 1 0 5 2 0 0 0 7 0 44 2 10 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 123 1
0 0 1 0 0 1 0 0 0 1 1 2 0 0 0 5 1 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 1
27 17 27 0 2 7 2 16 25 44 14 58 33 73 0 14 25 1 192 0 87 0 62 21 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 838 1
9 9 5 0 0 7 1 7 0 24 8 15 17 0 5 5 0 5 76 0 14 0 4 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 248 1
0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1
2 0 2 0 0 2 2 2 0 0 0 0 0 0 0 2 0 0 6 6 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 1
1 3 25 0 6 10 12 0 1 0 0 20 8 0 3 0 0 3 54 1 22 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 207 1
0 2 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 20 1
2 1 2 0 0 2 2 3 1 1 0 1 0 0 0 3 1 1 6 6 6 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 50 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 6 0 13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1
0 0 0 0 0 0 4 0 0 0 0 4 0 0 0 0 4 0 14 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 41 1
0 0 1 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1
0 3 3 0 3 0 0 0 0 0 0 3 0 0 0 3 0 7 11 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 57 1
0 3 14 0 3 0 0 0 0 0 0 3 0 0 0 3 0 7 17 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 80 1
0 6 0 0 0 0 6 0 0 6 0 6 0 0 0 0 0 13 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 70 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 1
0 0 0 0 2 0 1 1 0 0 0 1 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 1
0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 2 7 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 28 1
0 0 0 0 5 1 0 1 0 0 1 2 0 0 0 0 0 0 16 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 51 1
2 0 2 0 0 0 0 0 0 2 0 0 0 0 0 7 5 0 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 1
0 2 2 0 6 0 2 0 0 4 2 0 0 0 0 2 0 0 4 2 8 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 2 0 0 0 0 0 54 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 1
1 0 3 0 0 0 0 0 0 4 1 4 1 1 0 11 3 0 29 0 6 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 84 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 40 1
0 0 0 0 3 0 8 3 3 3 3 3 0 0 0 0 16 0 8 3 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 1
0 3 3 0 3 0 0 0 0 0 0 3 0 0 0 3 0 7 11 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 1
0 4 8 0 4 0 0 0 0 0 0 4 0 0 0 4 0 8 20 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 79 1
0 1 1 0 1 1 1 0 0 0 1 1 0 0 0 2 0 2 7 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 31 1
0 0 2 0 8 0 2 0 0 0 0 5 0 0 0 2 5 0 13 0 13 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 66 1
0 7 7 0 0 0 0 0 0 7 0 0 0 0 0 23 0 0 7 0 7 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 88 1
0 0 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 11 0 3 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 29 1
15 3 7 0 3 2 0 5 15 6 5 31 6 7 0 7 9 2 62 14 26 0 9 15 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 1 0 0 294 1
0 1 0 0 7 0 0 0 0 4 0 0 0 0 0 3 0 0 9 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 49 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 23 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1
0 0 3 0 0 0 3 0 0 14 0 7 0 3 0 3 14 0 36 0 28 0 0 7 0 0 0 0 0 0 0 0 0 0 0 3 3 0 0 0 0 0 0 0 0 143 1
0 1 1 0 0 0 0 2 0 0 1 0 0 0 0 4 0 1 2 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 1
0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 2 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 1
0 1 1 0 5 0 1 7 0 3 1 0 0 0 0 7 0 0 3 1 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 0 0 60 1
0 0 1 0 4 3 0 0 0 0 0 1 1 0 0 1 0 1 11 0 9 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 44 1
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 3 3 9 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 30 1
2 2 19 0 16 0 0 0 27 2 0 13 5 0 0 8 0 0 46 5 49 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2 234 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
0 1 3 0 7 0 3 0 0 0 0 1 1 0 0 1 8 0 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 1
27 18 27 0 2 7 2 15 25 44 15 57 34 74 0 15 25 0 191 0 88 0 61 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 836 1
28 21 13 0 6 1 1 6 27 32 13 32 28 59 1 10 21 3 165 0 73 0 28 30 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 676 1
28 21 13 0 6 1 1 6 27 32 13 32 28 59 1 10 21 3 165 0 73 0 28 30 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 676 1
0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 5 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 1
0 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 4 6 0 0 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 26 1
0 3 7 0 3 0 0 0 0 0 0 7 0 0 0 10 0 7 21 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 87 1
0 4 4 0 4 0 0 0 0 0 0 4 0 0 0 4 0 9 13 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 1
0 0 0 0 0 6 0 0 0 13 0 0 0 0 0 6 0 0 13 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 1
3 1 3 0 0 0 0 0 0 0 0 1 0 0 0 1 0 2 10 0 3 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 32 1
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1
0 0 8 0 0 8 0 0 0 0 0 0 0 0 0 8 0 0 32 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 82 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 19 1
0 0 8 0 0 8 0 0 0 0 0 0 0 0 0 8 0 0 32 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 82 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 19 1
0 0 8 0 0 8 0 0 0 0 0 0 0 0 0 8 0 0 32 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 82 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 19 1
0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 7 0 0 14 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 48 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 19 1
0 0 0 0 0 0 3 0 0 3 0 3 0 0 0 0 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 1
0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 1
0 0 7 0 3 0 7 0 0 0 0 3 0 0 0 0 0 7 14 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 59 1
0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 2 5 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 1
0 13 4 0 6 0 0 3 1 30 3 6 0 0 0 1 0 0 22 1 10 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 140 1
0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 3 0 0 9 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 41 1
1 8 11 0 2 1 0 1 2 0 0 8 5 0 1 0 0 14 43 8 21 0 4 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 163 1
1 8 11 0 2 1 0 1 2 0 0 8 5 0 1 0 0 13 42 8 20 0 4 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 161 1
0 0 0 0 4 0 8 4 4 4 4 4 0 0 0 0 16 0 8 4 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 86 1
0 1 1 0 7 0 3 0 0 0 0 1 1 0 0 1 9 0 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 1
1 8 11 0 2 1 0 1 2 0 0 8 5 0 1 0 0 14 43 8 21 0 4 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 163 1
1 8 11 0 2 1 0 1 2 0 0 8 5 0 1 0 0 13 42 8 20 0 4 5 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 161 1
25 23 17 0 7 1 0 9 28 32 15 36 32 63 1 11 21 0 155 0 67 0 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 665 1
0 16 40 0 16 0 8 0 0 24 8 0 8 0 8 8 0 40 8 8 32 0 0 0 0 0 0 8 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 271 1
0 0 0 0 23 0 7 0 0 0 0 0 0 0 0 0 0 0 7 0 15 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 1
1 0 7 0 3 1 3 9 1 5 3 16 0 0 0 0 18 3 23 18 40 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 182 1
1 0 1 0 4 0 0 0 0 0 1 3 0 0 0 0 0 0 13 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 3 47 1
0 0 0 0 0 0 2 0 0 0 0 5 0 0 0 0 0 2 22 0 5 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 48 1
0 0 0 0 3 0 0 2 0 0 0 1 0 0 0 0 3 0 9 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1
3 0 3 0 0 3 0 0 0 0 0 16 0 0 0 3 0 0 54 0 19 0 6 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 125 1
0 0 2 0 5 0 2 0 0 8 0 0 0 0 0 2 5 0 21 0 10 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 80 1
0 0 0 0 1 1 1 1 0 0 1 0 0 0 0 1 0 0 10 0 5 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 1
0 0 5 0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 41 1
0 0 4 0 8 0 0 0 0 0 0 3 4 0 0 0 0 0 9 0 2 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 49 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 22 1
0 13 13 0 6 0 0 6 0 0 13 13 0 0 0 33 6 13 20 0 27 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 202 1
0 13 13 0 6 0 0 6 0 0 13 13 0 0 0 33 6 13 20 0 27 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 202 1
7 0 2 0 5 5 0 0 0 0 0 2 5 0 0 5 5 0 18 0 2 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1
0 0 0 0 3 0 0 0 1 0 0 3 0 0 0 1 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 1
7 0 2 0 5 5 0 0 0 0 0 2 5 0 0 5 5 0 18 0 2 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 1
0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
25 23 17 0 7 1 0 9 28 32 15 36 32 63 1 11 21 0 155 0 67 0 25 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 665 1
0 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 22 1
7 0 2 0 5 5 0 0 0 0 0 2 5 0 0 5 5 0 18 0 2 0 13 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 85 1
0 15 38 0 15 0 7 0 0 22 15 0 7 0 7 7 0 38 30 7 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 7 277 1
1 0 5 0 0 0 0 0 0 0 0 3 8 0 0 0 0 0 3 0 5 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 1
0 0 0 0 1 1 0 5 1 1 0 1 0 0 0 1 3 0 4 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 37 1
1 0 1 0 0 1 0 0 0 0 0 1 2 0 0 0 3 2 8 0 3 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 32 1
0 1 1 0 7 0 3 0 0 0 0 1 1 0 0 1 9 0 12 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 53 1
0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 1
0 0 4 0 4 0 0 0 0 4 0 0 0 0 0 4 0 0 8 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35 1
0 0 14 0 2 0 0 0 0 2 0 0 0 0 0 2 0 0 17 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 57 1
0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 1
0 0 0 0 6 0 6 6 6 6 0 0 0 0 0 0 6 0 6 6 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 81 1
0 0 0 0 5 1 1 0 0 0 0 0 1 0 0 1 1 1 7 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 1
2 0 0 0 4 4 0 0 0 2 0 11 0 0 0 0 9 0 4 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 57 1
0 0 0 0 3 0 0 0 0 12 0 0 0 0 0 0 0 0 3 0 3 126 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 168 1
0 0 0 0 7 0 0 0 0 10 0 0 0 0 0 7 0 3 3 0 7 113 0 0 3 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 178 1
0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 5 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 1
1 1 3 0 3 3 0 3 0 0 3 0 1 0 0 10 3 5 42 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 6 121 1
0 1 3 0 0 0 1 0 0 1 0 0 0 0 1 3 0 6 4 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 1
0 0 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 5 0 4 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 1
